﻿id,restaurant_id,category,menu,price,restaurant_name,emotion,weather
240,9,국밥,얼큰국밥,6000,인천대학교 송도캠퍼스 학생식당,"배고픔, 피곤, 스트레스","맑음, 구름, 비, 눈"
241,9,피자,치즈피자,8900,인천대학교 송도캠퍼스 학생식당,"배고픔, 기쁨, 스트레스",맑음
242,9,양식,불닭도리아,5000,인천대학교 송도캠퍼스 학생식당,"배고픔, 피곤, 스트레스","맑음, 구름"
243,9,양식,치즈오븐스파게티,5000,인천대학교 송도캠퍼스 학생식당,"배고픔, 기쁨, 스트레스",맑음
244,9,피자,불고기피자,9900,인천대학교 송도캠퍼스 학생식당,"배고픔, 기쁨, 스트레스",맑음
245,9,한식,알밥,5500,인천대학교 송도캠퍼스 학생식당,적당,맑음
246,12,아시안,소고기쌀국수,5900,포썸,"적당, 피곤","맑음, 구름, 비, 눈"
247,12,아시안,짬뽕쌀국수,6500,포썸,"적당, 피곤, 스트레스","맑음, 구름, 비, 눈"
248,12,아시안,매콤 비빔쌀국수,6900,포썸,"적당, 피곤, 스트레스","맑음, 구름, 비, 눈"
249,12,아시안,매콤 물쌀국수,6900,포썸,"적당, 피곤, 스트레스","맑음, 구름, 비, 눈"
250,12,한식,제육덮밥,6500,포썸,"배고픔, 스트레스","맑음, 황사"
251,12,한식,김치베이컨볶음밥,6500,포썸,배고픔,맑음
252,12,돈까스,돈까스,6900,포썸,배고픔,"맑음, 구름, 황사"
253,12,아시안,짜조,5500,포썸,"적당, 스트레스","맑음, 구름, 황사"
254,12,만두,교자만두,4900,포썸,적당,맑음
255,12,만두,갈비만두,5500,포썸,적당,맑음
256,12,만두,튀김만두,4900,포썸,적당,맑음
257,12,사이드,소떡소떡,2900,포썸,"적당, 기쁨",맑음
258,13,일식,돈코츠라멘,6900,쉐푸드 인천대 8호관,"적당, 피곤","맑음, 구름, 비, 눈"
259,13,덮밥,고기덮밥,6900,쉐푸드 인천대 8호관,배고픔,"맑음, 황사"
